dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.650030,13.955000,0.000002,0.000499,0.049917,4.991711,6.283157
0.010000,1.650027,13.955000,0.000005,0.000237,-0.026222,-7.613905,6.283160
0.010000,1.650022,13.955000,0.000010,0.000533,0.029619,5.584105,6.283165
0.010000,1.650013,13.955000,0.000020,0.000948,0.041467,1.184805,6.283173
0.010000,1.650007,13.955000,0.000025,0.000579,-0.036849,-7.831620,0.000002
0.010000,1.650075,13.955000,0.000094,0.006852,0.627312,66.416104,0.000022
0.010000,1.650169,13.955000,0.000187,0.009327,0.247438,-37.987420,0.000049
0.010000,1.650290,13.955000,0.000309,0.012182,0.285495,3.805732,0.000085
0.010000,1.650445,13.955000,0.000463,0.015417,0.323554,3.805878,0.000130
0.010000,1.650635,13.955000,0.000654,0.019033,0.361593,3.803950,0.000186
0.010000,1.650865,13.955000,0.000884,0.023030,0.399631,3.803774,0.000253
0.010000,1.651139,13.955000,0.001158,0.027406,0.437661,3.802939,0.000333
0.010000,1.651461,13.955000,0.001480,0.032163,0.475668,3.800788,0.000427
0.010000,1.651834,13.955000,0.001853,0.037300,0.513672,3.800327,0.000536
0.010000,1.652262,13.955001,0.002281,0.042816,0.551646,3.797445,0.000661
0.010000,1.652749,13.955001,0.002768,0.048712,0.589607,3.796136,0.000804
0.010000,1.653299,13.955002,0.003318,0.054988,0.627543,3.793552,0.000965
0.010000,1.653916,13.955002,0.003934,0.061642,0.665448,3.790515,0.001145
0.010000,1.654602,13.955003,0.004621,0.068675,0.703330,3.788201,0.001347
0.010000,1.655363,13.955004,0.005382,0.076087,0.741173,3.784280,0.001570
0.010000,1.656202,13.955006,0.006221,0.083877,0.778981,3.780833,0.001816
0.010000,1.657122,13.955007,0.007141,0.092044,0.816743,3.776130,0.002086
0.010000,1.658128,13.955010,0.008147,0.100589,0.854468,3.772588,0.002381
0.010000,1.659223,13.955012,0.009242,0.109510,0.892136,3.766778,0.002702
0.010000,1.660411,13.955016,0.010430,0.118808,0.929751,3.761522,0.003052
0.010000,1.661696,13.955020,0.011715,0.128481,0.967309,3.755728,0.003429
0.010000,1.663082,13.955025,0.013100,0.138529,1.004802,3.749361,0.003837
0.010000,1.664571,13.955031,0.014590,0.148951,1.042230,3.742716,0.004276
0.010000,1.666168,13.955038,0.016187,0.159747,1.079574,3.734449,0.004747
0.010000,1.667878,13.955047,0.017896,0.170915,1.116847,3.727320,0.005251
0.010000,1.669702,13.955057,0.019721,0.182456,1.154029,3.718180,0.005790
0.010000,1.671646,13.955069,0.021665,0.194367,1.191125,3.709608,0.006365
0.010000,1.673712,13.955083,0.023731,0.206648,1.228121,3.699553,0.006976
0.010000,1.675905,13.955099,0.025924,0.219298,1.265008,3.688756,0.007626
0.010000,1.678228,13.955117,0.028247,0.232316,1.301795,3.678709,0.008316
0.010000,1.680685,13.955138,0.030704,0.245701,1.338461,3.666591,0.009046
0.010000,1.683280,13.955163,0.033299,0.259451,1.374998,3.653662,0.009818
0.010000,1.686015,13.955191,0.036034,0.273565,1.411414,3.641570,0.010634
0.010000,1.688895,13.955223,0.038915,0.288042,1.447685,3.627161,0.011493
0.010000,1.691924,13.955259,0.041944,0.302880,1.483815,3.612955,0.012399
0.010000,1.695104,13.955300,0.045124,0.318078,1.519792,3.597767,0.013352
0.010000,1.698440,13.955346,0.048461,0.333634,1.555610,3.581726,0.014353
0.010000,1.701935,13.955398,0.051956,0.349547,1.591256,3.564626,0.015404
0.010000,1.705593,13.955456,0.055614,0.365814,1.626731,3.547562,0.016506
0.010000,1.709417,13.955522,0.059439,0.382434,1.662023,3.529114,0.017661
0.010000,1.713410,13.955595,0.063433,0.399405,1.697119,3.509644,0.018870
0.010000,1.717577,13.955676,0.067600,0.416725,1.732014,3.489512,0.020134
0.010000,1.721920,13.955766,0.071944,0.434392,1.766708,3.469337,0.021454
0.010000,1.726443,13.955866,0.076468,0.452404,1.801175,3.446751,0.022833
0.010000,1.731149,13.955977,0.081175,0.470759,1.835426,3.425056,0.024272
0.010000,1.736042,13.956100,0.086070,0.489453,1.869432,3.400655,0.025772
0.010000,1.741125,13.956235,0.091155,0.508485,1.903205,3.377301,0.027334
0.010000,1.746401,13.956383,0.096433,0.527852,1.936719,3.351409,0.028961
0.010000,1.751875,13.956546,0.101909,0.547552,1.969975,3.325536,0.030653
0.010000,1.757548,13.956725,0.107585,0.567581,2.002961,3.298658,0.032413
0.010000,1.763424,13.956921,0.113464,0.587938,2.035669,3.270750,0.034241
0.010000,1.769506,13.957135,0.119550,0.608619,2.068091,3.242228,0.036141
0.010000,1.775798,13.957369,0.125846,0.629621,2.100218,3.212690,0.038112
0.010000,1.782302,13.957624,0.132356,0.650942,2.132038,3.182044,0.040158
0.010000,1.789022,13.957901,0.139082,0.672577,2.163548,3.150916,0.042280
0.010000,1.795961,13.958202,0.146027,0.694524,2.194741,3.119310,0.044478
0.010000,1.803122,13.958529,0.153195,0.716780,2.225599,3.085861,0.046757
0.010000,1.810506,13.958883,0.160588,0.739342,2.256129,3.052989,0.049116
0.010000,1.818119,13.959267,0.168210,0.762205,2.286312,3.018250,0.051558
0.010000,1.825962,13.959681,0.176064,0.785366,2.316152,2.984029,0.054085
0.010000,1.834037,13.960129,0.184152,0.808823,2.345630,2.947809,0.056699
0.010000,1.842349,13.960612,0.192478,0.832570,2.374752,2.912222,0.059402
0.010000,1.850897,13.961133,0.201042,0.856420,2.384994,1.024163,0.062194
