dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.649970,11.825000,0.000002,0.000499,0.049917,4.991711,6.283157
0.010000,1.649973,11.825000,0.000005,0.000237,-0.026222,-7.613905,6.283160
0.010000,1.649978,11.825000,0.000010,0.000533,0.029619,5.584105,6.283165
0.010000,1.649987,11.825000,0.000020,0.000948,0.041467,1.184805,6.283173
0.010000,1.650011,11.825000,0.000044,0.002383,0.143481,10.201401,0.000002
0.010000,1.650122,11.825000,0.000155,0.011118,0.873512,73.003070,0.000022
0.010000,1.650274,11.825000,0.000306,0.015133,0.401482,-47.202965,0.000049
0.010000,1.650471,11.825000,0.000504,0.019765,0.463256,6.177408,0.000085
0.010000,1.650721,11.825000,0.000754,0.025016,0.525047,6.179104,0.000130
0.010000,1.651030,11.825000,0.001063,0.030884,0.586826,6.177849,0.000186
0.010000,1.651404,11.825000,0.001436,0.037370,0.648625,6.179899,0.000253
0.010000,1.651849,11.825000,0.001881,0.044474,0.710439,6.181397,0.000333
0.010000,1.652371,11.825001,0.002403,0.052197,0.772252,6.181326,0.000427
0.010000,1.652976,11.825001,0.003008,0.060538,0.834098,6.184617,0.000536
0.010000,1.653671,11.825001,0.003703,0.069497,0.895945,6.184651,0.000661
0.010000,1.654462,11.825002,0.004494,0.079076,0.957824,6.187958,0.000804
0.010000,1.655355,11.825003,0.005387,0.089273,1.019724,6.189972,0.000965
0.010000,1.656355,11.825004,0.006388,0.100089,1.081645,6.192075,0.001145
0.010000,1.657471,11.825005,0.007503,0.111525,1.143607,6.196229,0.001347
0.010000,1.658707,11.825007,0.008739,0.123581,1.205594,6.198701,0.001570
0.010000,1.660069,11.825009,0.010101,0.136258,1.267623,6.202924,0.001816
0.010000,1.661565,11.825012,0.011597,0.149554,1.329685,6.206140,0.002086
0.010000,1.663199,11.825016,0.013232,0.163473,1.391808,6.212323,0.002381
0.010000,1.664979,11.825020,0.015012,0.178012,1.453968,6.215956,0.002702
0.010000,1.666911,11.825026,0.016944,0.193174,1.516184,6.221674,0.003052
0.010000,1.669001,11.825033,0.019033,0.208959,1.578462,6.227755,0.003429
0.010000,1.671254,11.825041,0.021287,0.225367,1.640804,6.234194,0.003837
0.010000,1.673678,11.825051,0.023711,0.242399,1.703219,6.241519,0.004276
0.010000,1.676279,11.825062,0.026311,0.260056,1.765695,6.247594,0.004747
0.010000,1.679062,11.825076,0.029095,0.278339,1.828265,6.256964,0.005251
0.010000,1.682035,11.825093,0.032067,0.297248,1.890910,6.264549,0.005790
0.010000,1.685203,11.825112,0.035235,0.316784,1.953656,6.274600,0.006365
0.010000,1.688572,11.825134,0.038605,0.336949,2.016494,6.283827,0.006976
0.010000,1.692149,11.825160,0.042182,0.357743,2.079429,6.293485,0.007626
0.010000,1.695941,11.825191,0.045974,0.379168,2.142490,6.306055,0.008316
0.010000,1.699953,11.825226,0.049986,0.401225,2.205660,6.316985,0.009046
0.010000,1.704192,11.825266,0.054225,0.423914,2.268943,6.328375,0.009818
0.010000,1.708664,11.825311,0.058697,0.447238,2.332373,6.342966,0.010634
0.010000,1.713376,11.825363,0.063409,0.471197,2.395929,6.355649,0.011493
0.010000,1.718333,11.825423,0.068367,0.495794,2.459635,6.370588,0.012399
0.010000,1.723543,11.825490,0.073578,0.521029,2.523494,6.385889,0.013352
0.010000,1.729012,11.825565,0.079047,0.546904,2.587512,6.401806,0.014353
0.010000,1.734745,11.825651,0.084781,0.573421,2.651693,6.418039,0.015404
0.010000,1.740750,11.825747,0.090787,0.600581,2.716057,6.436423,0.016506
0.010000,1.747033,11.825854,0.097071,0.628387,2.780604,6.454668,0.017661
0.010000,1.753601,11.825974,0.103639,0.656841,2.845338,6.473399,0.018870
0.010000,1.760459,11.826108,0.110498,0.685943,2.910270,6.493240,0.020134
0.010000,1.767614,11.826256,0.117655,0.715698,2.975422,6.515240,0.021454
0.010000,1.775073,11.826422,0.125116,0.746105,3.040778,6.535525,0.022833
0.010000,1.782843,11.826605,0.132888,0.777169,3.106373,6.559558,0.024272
0.010000,1.790929,11.826807,0.140977,0.808891,3.172187,6.581428,0.025772
0.010000,1.799339,11.827030,0.149390,0.841274,3.238261,6.607338,0.027334
0.010000,1.808079,11.827276,0.158133,0.874319,3.304575,6.631379,0.028961
0.010000,1.817155,11.827547,0.167213,0.908031,3.371152,6.657777,0.030653
0.010000,1.826574,11.827844,0.176637,0.942411,3.438001,6.684838,0.032413
0.010000,1.836344,11.828170,0.186412,0.977462,3.505126,6.712506,0.034241
0.010000,1.846469,11.828526,0.196544,1.013188,3.572540,6.741456,0.036141
0.010000,1.856958,11.828916,0.207040,1.049590,3.640250,6.770991,0.038112
0.010000,1.867816,11.829341,0.217907,1.086673,3.708260,6.800920,0.040158
0.010000,1.879051,11.829804,0.229151,1.124438,3.776582,6.832236,0.042280
0.010000,1.890669,11.830309,0.240780,1.162891,3.845231,6.864893,0.044478
0.010000,1.902677,11.830857,0.252800,1.202033,3.914196,6.896533,0.046757
0.010000,1.915081,11.831452,0.265219,1.241868,3.983507,6.931119,0.049116
