dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.649975,13.955000,0.000002,0.000495,0.049526,4.952584,0.000023
0.010000,1.649978,13.955000,0.000005,0.000241,-0.025385,-7.491045,0.000021
0.010000,1.649983,13.955000,0.000010,0.000543,0.030177,5.556118,0.000016
0.010000,1.649993,13.955000,0.000020,0.000966,0.042247,1.207071,0.000007
0.010000,1.650040,13.955000,0.000067,0.004748,0.378222,33.597458,6.283178
0.010000,1.650151,13.955000,0.000178,0.011087,0.633952,25.572998,6.283157
0.010000,1.650302,13.955000,0.000329,0.015091,0.400384,-23.356807,6.283130
0.010000,1.650499,13.955000,0.000526,0.019711,0.461982,6.159871,6.283093
0.010000,1.650749,13.955000,0.000776,0.024947,0.523589,6.160637,6.283048
0.010000,1.651057,13.955000,0.001084,0.030799,0.585194,6.160533,6.282991
0.010000,1.651429,13.955000,0.001456,0.037267,0.646805,6.161068,6.282922
0.010000,1.651873,13.955000,0.001900,0.044351,0.708423,6.161817,6.282841
0.010000,1.652393,13.954999,0.002421,0.052052,0.770041,6.161789,6.282745
0.010000,1.652997,13.954999,0.003024,0.060368,0.831670,6.162885,6.282634
0.010000,1.653690,13.954999,0.003717,0.069301,0.893307,6.163762,6.282506
0.010000,1.654479,13.954998,0.004506,0.078851,0.954950,6.164299,6.282361
0.010000,1.655369,13.954997,0.005396,0.089017,1.016607,6.165646,6.282197
0.010000,1.656367,13.954996,0.006394,0.099800,1.078273,6.166603,6.282013
0.010000,1.657479,13.954995,0.007506,0.111199,1.139952,6.167926,6.281809
0.010000,1.658711,13.954993,0.008738,0.123216,1.201650,6.169825,6.281582
0.010000,1.660069,13.954991,0.010097,0.135849,1.263355,6.170471,6.281332
0.010000,1.661560,13.954988,0.011588,0.149100,1.325090,6.173496,6.281057
0.010000,1.663190,13.954984,0.013217,0.162968,1.386832,6.174209,6.280757
0.010000,1.664965,13.954979,0.014992,0.177454,1.448603,6.177082,6.280430
0.010000,1.666890,13.954974,0.016917,0.192558,1.510397,6.179385,6.280075
0.010000,1.668973,13.954967,0.019000,0.208281,1.572211,6.181461,6.279691
0.010000,1.671219,13.954959,0.021246,0.224621,1.634058,6.184619,6.279277
0.010000,1.673635,13.954949,0.023662,0.241580,1.695926,6.186841,6.278832
0.010000,1.676226,13.954937,0.026254,0.259159,1.757832,6.190614,6.278354
0.010000,1.679000,13.954923,0.029027,0.277356,1.819766,6.193380,6.277842
0.010000,1.681962,13.954906,0.031989,0.296174,1.881738,6.197227,6.277296
0.010000,1.685118,13.954886,0.035145,0.315611,1.943745,6.200725,6.276713
0.010000,1.688474,13.954864,0.038502,0.335669,2.005791,6.204531,6.276093
0.010000,1.692038,13.954837,0.042065,0.356348,2.067877,6.208637,6.275435
0.010000,1.695814,13.954807,0.045842,0.377648,2.130011,6.213430,6.274737
0.010000,1.699810,13.954771,0.049838,0.399570,2.192183,6.217163,6.273999
0.010000,1.704031,13.954731,0.054059,0.422114,2.254406,6.222336,6.273219
0.010000,1.708483,13.954685,0.058511,0.445281,2.316678,6.227171,6.272395
0.010000,1.713174,13.954632,0.063202,0.469071,2.379003,6.232467,6.271527
0.010000,1.718108,13.954572,0.068137,0.493484,2.441375,6.237241,6.270614
0.010000,1.723293,13.954505,0.073322,0.518523,2.503807,6.243133,6.269654
0.010000,1.728734,13.954428,0.078764,0.544185,2.566295,6.248825,6.268646
0.010000,1.734438,13.954342,0.084469,0.570474,2.628835,6.254045,6.267588
0.010000,1.740411,13.954246,0.090443,0.597388,2.691444,6.260845,6.266480
0.010000,1.746660,13.954138,0.096692,0.624929,2.754104,6.265988,6.265321
0.010000,1.753190,13.954017,0.103223,0.653098,2.816832,6.272851,6.264109
0.010000,1.760007,13.953883,0.110042,0.681894,2.879622,6.278968,6.262842
0.010000,1.767119,13.953733,0.117155,0.711319,2.942472,6.284983,6.261520
0.010000,1.774531,13.953568,0.124569,0.741372,3.005390,6.291824,6.260142
0.010000,1.782249,13.953384,0.132289,0.772056,3.068368,6.297797,6.258705
0.010000,1.790280,13.953182,0.140323,0.803370,3.131417,6.304875,6.257210
0.010000,1.798630,13.952958,0.148676,0.835316,3.194522,6.310500,6.255654
0.010000,1.807306,13.952712,0.157355,0.867892,3.257694,6.317255,6.254036
0.010000,1.816313,13.952442,0.166366,0.901102,3.320930,6.323571,6.252355
0.010000,1.825657,13.952146,0.175716,0.934944,3.384220,6.329050,6.250610
0.010000,1.835346,13.951821,0.185410,0.969420,3.447576,6.335593,6.248799
0.010000,1.845385,13.951466,0.195455,1.004530,3.510985,6.340918,6.246921
0.010000,1.855781,13.951079,0.205858,1.040274,3.574447,6.346125,6.244975
0.010000,1.866539,13.950657,0.216624,1.076654,3.637959,6.351246,6.242959
0.010000,1.877666,13.950198,0.227761,1.113669,3.701520,6.356117,6.240873
0.010000,1.889169,13.949698,0.239274,1.151320,3.765115,6.359496,6.238714
0.010000,1.901049,13.949156,0.251167,1.189298,3.797806,3.269038,6.236483
0.010000,1.913308,13.948569,0.263440,1.227293,3.799535,0.172970,6.234178
0.010000,1.925945,13.947934,0.276093,1.265306,3.801243,0.170747,6.231800
0.010000,1.938961,13.947249,0.289127,1.303335,3.802915,0.167213,6.229349
0.010000,1.952354,13.946510,0.302540,1.341380,3.804543,0.162789,6.226824
0.010000,1.966126,13.945715,0.316335,1.379442,3.806114,0.157165,6.224226
0.010000,1.980275,13.944861,0.330510,1.417518,3.807626,0.151113,6.221553
0.010000,1.994802,13.943944,0.345066,1.455608,3.809060,0.143467,6.218807
0.010000,2.009707,13.942962,0.360003,1.493713,3.810411,0.135049,6.215986
0.010000,2.024989,13.941912,0.375321,1.531829,3.811671,0.126039,6.213091
0.010000,2.040649,13.940789,0.391021,1.569957,3.812818,0.114682,6.210122
0.010000,2.056685,13.939591,0.407102,1.608096,3.813852,0.103390,6.207079
0.010000,2.073098,13.938313,0.423564,1.646243,3.814755,0.090271,6.203961
0.010000,2.089887,13.936954,0.440408,1.684399,3.815513,0.075880,6.200768
0.010000,2.107051,13.935507,0.457634,1.722560,3.816115,0.060175,6.197501
0.010000,2.124592,13.933971,0.475241,1.760725,3.816551,0.043534,6.194159
0.010000,2.142506,13.932341,0.493230,1.798893,3.816800,0.024981,6.190742
0.010000,2.160796,13.930614,0.511601,1.837062,3.816855,0.005494,6.187250
0.010000,2.179458,13.928784,0.530353,1.875229,3.816697,-0.015855,6.183684
0.010000,2.198494,13.926849,0.549487,1.913392,3.816310,-0.038656,6.180043
0.010000,2.217902,13.924803,0.569003,1.951549,3.815686,-0.062401,6.176328
0.010000,2.237682,13.922644,0.588900,1.989697,3.814799,-0.088702,6.172538
0.010000,2.257832,13.920366,0.609178,2.027833,3.813642,-0.115754,6.168674
0.010000,2.278351,13.917965,0.629837,2.065955,3.812192,-0.144919,6.164735
0.010000,2.299239,13.915436,0.650878,2.104059,3.810437,-0.175498,6.160722
0.010000,2.320495,13.912776,0.672299,2.142143,3.808358,-0.207986,6.156635
0.010000,2.342117,13.909979,0.694101,2.180202,3.805940,-0.241743,6.152475
0.010000,2.364104,13.907042,0.716284,2.218234,3.803161,-0.277958,6.148241
0.010000,2.386454,13.903958,0.738846,2.256234,3.800009,-0.315119,6.143934
0.010000,2.409167,13.900724,0.761788,2.294199,3.796462,-0.354738,6.139554
0.010000,2.432241,13.897334,0.785109,2.332124,3.792508,-0.395392,6.135102
0.010000,2.455674,13.893785,0.808809,2.370005,3.788121,-0.438681,6.130578
0.010000,2.479464,13.890070,0.832888,2.407838,3.783293,-0.482809,6.125982
0.010000,2.503609,13.886184,0.857344,2.445618,3.777997,-0.529645,6.121315
0.010000,2.528109,13.882124,0.882177,2.483340,3.772221,-0.577526,6.116578
0.010000,2.552959,13.877884,0.907387,2.521000,3.765950,-0.627121,6.111770
0.010000,2.578160,13.873458,0.932973,2.558591,3.759158,-0.679181,6.106893
0.010000,2.603707,13.868842,0.958934,2.596110,3.751840,-0.731858,6.101948
0.010000,2.629599,13.864030,0.985270,2.633549,3.743967,-0.787251,6.096935
0.010000,2.655834,13.859017,1.011979,2.670905,3.735533,-0.843412,6.091855
0.010000,2.682408,13.853799,1.039061,2.708170,3.726519,-0.901371,6.086708
0.010000,2.709319,13.848369,1.066514,2.745339,3.716911,-0.960860,6.081496
0.010000,2.736564,13.842724,1.094338,2.782406,3.706690,-1.022055,6.076220
0.010000,2.764141,13.836856,1.122532,2.819364,3.695852,-1.083868,6.070881
0.010000,2.792045,13.830763,1.151094,2.856208,3.684374,-1.147725,6.065479
0.010000,2.820274,13.824437,1.180023,2.892931,3.672254,-1.212029,6.060016
0.010000,2.848825,13.817874,1.209318,2.929525,3.659473,-1.278089,6.054493
0.010000,2.877694,13.811070,1.238978,2.965986,3.646029,-1.344444,6.048911
0.010000,2.906877,13.804018,1.269001,3.002305,3.631908,-1.412111,6.043272
0.010000,2.936371,13.796714,1.299386,3.038476,3.617104,-1.480397,6.037577
0.010000,2.966171,13.789153,1.330131,3.074492,3.601614,-1.549016,6.031828
0.010000,2.996275,13.781329,1.361234,3.110346,3.585430,-1.618391,6.026025
0.010000,3.026677,13.773239,1.392695,3.146032,3.568550,-1.687924,6.020171
0.010000,3.057374,13.764876,1.424510,3.181541,3.550976,-1.757407,6.014268
0.010000,3.088361,13.756237,1.456679,3.216869,3.532704,-1.827246,6.008316
0.010000,3.119633,13.747317,1.489199,3.252006,3.513736,-1.896748,6.002318
0.010000,3.151187,13.738110,1.522068,3.286947,3.494079,-1.965754,5.996276
0.010000,3.183017,13.728613,1.555285,3.321684,3.473736,-2.034323,5.990191
0.010000,3.215119,13.718821,1.588847,3.356211,3.452713,-2.102251,5.984065
0.010000,3.247488,13.708730,1.622752,3.390521,3.431021,-2.169251,5.977902
0.010000,3.280119,13.698336,1.656999,3.424608,3.408669,-2.235142,5.971701
0.010000,3.313006,13.687634,1.691583,3.458465,3.385672,-2.299756,5.965467
0.010000,3.346144,13.676621,1.726504,3.492085,3.362042,-2.362980,5.959200
0.010000,3.379529,13.665292,1.761759,3.525463,3.337795,-2.424665,5.952904
0.010000,3.413155,13.653645,1.797345,3.558593,3.312952,-2.484351,5.946580
0.010000,3.447017,13.641675,1.833259,3.591468,3.287530,-2.542173,5.940232
0.010000,3.481108,13.629380,1.869500,3.624083,3.261551,-2.597870,5.933860
0.010000,3.515424,13.616755,1.906064,3.656434,3.235040,-2.651135,5.927469
0.010000,3.549958,13.603799,1.942950,3.688514,3.208019,-2.702055,5.921060
0.010000,3.584706,13.590507,1.980153,3.720319,3.180517,-2.750236,5.914636
