dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.650025,11.825000,0.000002,0.000495,0.049526,4.952584,0.000023
0.010000,1.650022,11.825000,0.000005,0.000241,-0.025385,-7.491045,0.000021
0.010000,1.650017,11.825000,0.000010,0.000543,0.030177,5.556118,0.000016
0.010000,1.650007,11.825000,0.000020,0.000966,0.042247,1.207071,0.000007
0.010000,1.650024,11.825000,0.000037,0.001730,0.076455,3.420731,6.283178
0.010000,1.650092,11.825000,0.000105,0.006742,0.501171,42.471637,6.283157
0.010000,1.650184,11.825000,0.000196,0.009176,0.243454,-25.771690,6.283130
0.010000,1.650304,11.825000,0.000316,0.011985,0.280903,3.744876,6.283093
0.010000,1.650455,11.825000,0.000468,0.015169,0.318352,3.744949,6.283048
0.010000,1.650642,11.825000,0.000655,0.018727,0.355796,3.744382,6.282991
0.010000,1.650869,11.825000,0.000882,0.022659,0.393237,3.744077,6.282922
0.010000,1.651139,11.825000,0.001152,0.026966,0.430675,3.743766,6.282841
0.010000,1.651455,11.825000,0.001468,0.031647,0.468103,3.742830,6.282745
0.010000,1.651822,11.824999,0.001835,0.036702,0.505527,3.742413,6.282634
0.010000,1.652244,11.824999,0.002256,0.042132,0.542944,3.741684,6.282506
0.010000,1.652723,11.824999,0.002736,0.047935,0.580349,3.740558,6.282361
0.010000,1.653264,11.824998,0.003277,0.054113,0.617747,3.739720,6.282197
0.010000,1.653871,11.824998,0.003883,0.060664,0.655131,3.738430,6.282013
0.010000,1.654547,11.824997,0.004559,0.067589,0.692502,3.737134,6.281809
0.010000,1.655295,11.824996,0.005308,0.074888,0.729862,3.735948,6.281582
0.010000,1.656121,11.824994,0.006134,0.082560,0.767199,3.733750,6.281332
0.010000,1.657027,11.824993,0.007040,0.090605,0.804527,3.732735,6.281057
0.010000,1.658017,11.824990,0.008030,0.099023,0.841827,3.730043,6.280757
0.010000,1.659095,11.824987,0.009108,0.107814,0.879111,3.728383,6.280430
0.010000,1.660265,11.824984,0.010278,0.116978,0.916372,3.726084,6.280075
0.010000,1.661530,11.824980,0.011543,0.126514,0.953605,3.723349,6.279691
0.010000,1.662895,11.824975,0.012907,0.136422,0.990815,3.720963,6.279277
0.010000,1.664362,11.824969,0.014374,0.146702,1.027992,3.717695,6.278832
0.010000,1.665935,11.824962,0.015948,0.157354,1.065142,3.715050,6.278354
0.010000,1.667619,11.824953,0.017632,0.168376,1.102257,3.711468,6.277842
0.010000,1.669417,11.824943,0.019429,0.179770,1.139339,3.708213,6.277296
0.010000,1.671332,11.824931,0.021345,0.191533,1.176383,3.704416,6.276713
0.010000,1.673368,11.824917,0.023381,0.203667,1.213388,3.700473,6.276093
0.010000,1.675530,11.824901,0.025543,0.216171,1.250352,3.696379,6.275435
0.010000,1.677820,11.824883,0.027834,0.229044,1.287275,3.692371,6.274737
0.010000,1.680243,11.824861,0.030256,0.242285,1.324149,3.687391,6.273999
0.010000,1.682802,11.824837,0.032815,0.255895,1.360979,3.682960,6.273219
0.010000,1.685501,11.824809,0.035514,0.269872,1.397759,3.678007,6.272395
0.010000,1.688343,11.824777,0.038356,0.284217,1.434489,3.673025,6.271527
0.010000,1.691332,11.824741,0.041346,0.298929,1.471164,3.667428,6.270614
0.010000,1.694471,11.824700,0.044486,0.314007,1.507786,3.662222,6.269654
0.010000,1.697766,11.824653,0.047780,0.329450,1.544352,3.656625,6.268646
0.010000,1.701218,11.824601,0.051233,0.345259,1.580857,3.650489,6.267588
0.010000,1.704832,11.824543,0.054847,0.361432,1.617308,3.645079,6.266480
0.010000,1.708611,11.824478,0.058627,0.377969,1.653692,3.638457,6.265321
0.010000,1.712559,11.824405,0.062575,0.394869,1.690019,3.632693,6.264109
0.010000,1.716679,11.824324,0.066697,0.412132,1.726282,3.626326,6.262842
0.010000,1.720976,11.824233,0.070994,0.429757,1.762480,3.619779,6.261520
0.010000,1.725452,11.824133,0.075472,0.447743,1.798617,3.613650,6.260142
0.010000,1.730112,11.824022,0.080133,0.466090,1.834686,3.606956,6.258705
0.010000,1.734958,11.823900,0.084981,0.484797,1.870696,3.600935,6.257210
0.010000,1.739995,11.823765,0.090019,0.503863,1.906637,3.594093,6.255654
0.010000,1.745226,11.823617,0.095252,0.523288,1.942517,3.588044,6.254036
0.010000,1.750654,11.823454,0.100683,0.543072,1.978336,3.581900,6.252355
0.010000,1.756283,11.823276,0.106315,0.563213,2.014091,3.575487,6.250610
0.010000,1.762117,11.823080,0.112152,0.583710,2.049791,3.570023,6.248799
0.010000,1.768159,11.822867,0.118198,0.604565,2.085433,3.564208,6.246921
0.010000,1.774413,11.822634,0.124455,0.625775,2.121021,3.558791,6.244975
0.010000,1.780881,11.822380,0.130929,0.647341,2.156560,3.553879,6.242959
