dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.651975,14.423000,0.000002,0.000492,0.049212,4.921184,0.000024
0.010000,1.651977,14.423000,0.000005,0.000242,-0.024982,-7.419427,0.000022
0.010000,1.651982,14.423000,0.000010,0.000545,0.030287,5.526924,0.000017
0.010000,1.651992,14.423000,0.000020,0.000969,0.042402,1.211485,0.000007
0.010000,1.652037,14.423000,0.000065,0.004448,0.347929,30.552692,6.283179
0.010000,1.652147,14.423000,0.000175,0.011039,0.659034,31.110586,6.283158
0.010000,1.652297,14.423000,0.000325,0.015025,0.398631,-26.040361,6.283130
0.010000,1.652493,14.423000,0.000521,0.019625,0.459961,6.133002,6.283094
0.010000,1.652742,14.423000,0.000770,0.024838,0.521297,6.133612,6.283048
0.010000,1.653048,14.423000,0.001076,0.030664,0.582634,6.133668,6.282991
0.010000,1.653420,14.423000,0.001447,0.037104,0.643982,6.134785,6.282922
0.010000,1.653861,14.423000,0.001889,0.044157,0.705326,6.134445,6.282840
0.010000,1.654379,14.422999,0.002407,0.051824,0.766684,6.135803,6.282744
0.010000,1.654980,14.422999,0.003008,0.060104,0.828050,6.136582,6.282632
0.010000,1.655670,14.422999,0.003698,0.068999,0.889418,6.136776,6.282504
0.010000,1.656455,14.422998,0.004483,0.078507,0.950805,6.138700,6.282359
0.010000,1.657342,14.422997,0.005370,0.088629,1.012199,6.139488,6.282194
0.010000,1.658335,14.422996,0.006363,0.099365,1.073606,6.140678,6.282010
0.010000,1.659442,14.422995,0.007470,0.110715,1.135037,6.143057,6.281804
0.010000,1.660669,14.422993,0.008697,0.122680,1.196473,6.143647,6.281576
0.010000,1.662022,14.422991,0.010050,0.135259,1.257935,6.146146,6.281325
0.010000,1.663506,14.422988,0.011534,0.148453,1.319419,6.148431,6.281050
0.010000,1.665129,14.422984,0.013157,0.162263,1.380923,6.150391,6.280748
0.010000,1.666896,14.422979,0.014924,0.176687,1.442450,6.152714,6.280420
0.010000,1.668813,14.422974,0.016841,0.191727,1.504011,6.156052,6.280064
0.010000,1.670887,14.422967,0.018915,0.207383,1.565593,6.158266,6.279678
0.010000,1.673124,14.422959,0.021152,0.223655,1.627214,6.162116,6.279263
0.010000,1.675529,14.422949,0.023557,0.240544,1.688867,6.165296,6.278815
0.010000,1.678109,14.422937,0.026137,0.258049,1.750553,6.168517,6.278335
0.010000,1.680871,14.422923,0.028899,0.276172,1.812283,6.173068,6.277822
0.010000,1.683820,14.422906,0.031848,0.294913,1.874051,6.176801,6.277273
0.010000,1.686963,14.422886,0.034991,0.314271,1.935864,6.181294,6.276688
0.010000,1.690305,14.422864,0.038334,0.334249,1.997728,6.186370,6.276065
0.010000,1.693854,14.422837,0.041882,0.354845,2.059632,6.190458,6.275404
0.010000,1.697614,14.422807,0.045643,0.376061,2.121595,6.196220,6.274703
