dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.652025,12.293000,0.000002,0.000492,0.049212,4.921184,0.000024
0.010000,1.652023,12.293000,0.000005,0.000242,-0.024982,-7.419427,0.000022
0.010000,1.652018,12.293000,0.000010,0.000545,0.030287,5.526924,0.000017
0.010000,1.652008,12.293000,0.000020,0.000969,0.042402,1.211485,0.000007
0.010000,1.652022,12.293000,0.000034,0.001420,0.045058,0.265679,6.283179
0.010000,1.652089,12.293000,0.000101,0.006677,0.525768,48.070928,6.283158
0.010000,1.652180,12.293000,0.000192,0.009089,0.241126,-28.464208,6.283130
0.010000,1.652298,12.293000,0.000311,0.011871,0.278216,3.709005,6.283094
0.010000,1.652449,12.293000,0.000461,0.015024,0.315305,3.708913,6.283048
0.010000,1.652634,12.293000,0.000646,0.018548,0.352388,3.708356,6.282991
0.010000,1.652859,12.293000,0.000871,0.022443,0.389471,3.708295,6.282922
0.010000,1.653126,12.293000,0.001138,0.026708,0.426543,3.707190,6.282840
0.010000,1.653439,12.293000,0.001451,0.031344,0.463613,3.706935,6.282744
0.010000,1.653803,12.293000,0.001815,0.036351,0.500674,3.706136,6.282632
0.010000,1.654220,12.292999,0.002232,0.041728,0.537722,3.704774,6.282504
0.010000,1.654695,12.292999,0.002707,0.047476,0.574764,3.704233,6.282359
0.010000,1.655231,12.292998,0.003243,0.053594,0.611792,3.702766,6.282194
0.010000,1.655831,12.292998,0.003844,0.060082,0.648805,3.701287,6.282010
0.010000,1.656501,12.292997,0.004513,0.066940,0.685807,3.700258,6.281804
0.010000,1.657243,12.292996,0.005255,0.074168,0.722786,3.697864,6.281576
0.010000,1.658060,12.292994,0.006072,0.081765,0.759749,3.696327,6.281325
0.010000,1.658957,12.292993,0.006970,0.089732,0.796693,3.694349,6.281050
0.010000,1.659938,12.292990,0.007950,0.098068,0.833611,3.691853,6.280748
0.010000,1.661006,12.292988,0.009018,0.106773,0.870503,3.689239,6.280420
0.010000,1.662164,12.292984,0.010176,0.115847,0.907372,3.686890,6.280064
0.010000,1.663417,12.292980,0.011429,0.125289,0.944207,3.683503,6.279678
0.010000,1.664768,12.292975,0.012780,0.135099,0.981015,3.680735,6.279263
0.010000,1.666221,12.292969,0.014233,0.145277,1.017787,3.677184,6.278815
0.010000,1.667779,12.292962,0.015791,0.155822,1.054519,3.673268,6.278335
0.010000,1.669446,12.292953,0.017459,0.166734,1.091217,3.669760,6.277822
0.010000,1.671227,12.292943,0.019239,0.178013,1.127870,3.665355,6.277273
0.010000,1.673123,12.292931,0.021135,0.189658,1.164480,3.661000,6.276688
0.010000,1.675140,12.292918,0.023152,0.201668,1.201046,3.656583,6.276065
0.010000,1.677280,12.292902,0.025293,0.214044,1.237558,3.651153,6.275404
0.010000,1.679548,12.292883,0.027560,0.226784,1.274021,3.646315,6.274703
0.010000,1.681947,12.292862,0.029959,0.239888,1.310430,3.640917,6.273962
